,user,star,time,comments
145,翠蝶🌸羽生✨💫,4,2018-05-17,这是一个非常感人的故事，关于希望和友谊的力量。与其他类型的电影一样，人们可以知道会发生什么，当然，但是当你看这部电影时你会一次又一次感到惊讶，甚至会落泪。
146,甜椒Oli,5,2017-03-26,我们都是病人 渴望活着 好好的活着 却惧怕生活
147,lichol,2,2017-04-21,真的不喜欢，不好看，没感觉
148,醉里挑灯看花,5,2018-05-15,读书时为老图书管理员惋惜：自由来得太晚，不如不来。后来觉得，朝闻道夕死可矣，不失为一种幸运。
149,bird,5,2012-11-12,如今这肖申克囚禁着整代人。
150,王老虎,5,2009-01-13,那片海蓝的太不像话了。。怎么可以那么蓝~~
151,云中,5,2009-10-10,看了一遍原著小说，觉得这个电影还是很好看
152,与你走天涯,5,2018-02-11,"很多人，可能都有被自己设置的牢笼所禁锢着的时候！没有光明，没有明天，没有希望！可能你会因此沉沦，但也可能会突破它，战胜它，最终赢得自我的升华！这部电影告诉我们的似乎就是如此！

    每一次的观赏，每一次的感动，都能带给我满满的希望！"
153,吃瓜的小土豆儿,5,2017-05-15,“记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。”
154,麻辣烫,5,2018-05-29,确实经典，就是人信念的力量吧，真佩服男主的脑袋
155,Lies and lies,2,2008-06-21,令人费解的經典
156,曼仔,4,2018-08-17,十年过去了可算把这片儿给看了。。其实视听语言就很中规中矩，精品通俗故事，很多地方就很直给，是叙述而非呈现。而想讲述的东西也并不复杂。完全可以理解像这部、死亡诗社、放牛班春天为什么会获得那么高的大众口碑，是一种通俗而不至于庸俗的励志，是一个扎实沉稳的故事。不过摩根弗里曼演技真好。哦以及，电影情节生动体现了知识就是力量- -
157,办公室甜心,5,2011-12-09,"""Hope is a good thing, maybe the best of things, and no good thing ever dies."" 太让人振奋了，大约7年前和哥哥一起看过一遍，但是毫无印象，这一次体会得酣畅淋漓，铭刻于心。有的鸟儿羽翼是如此光辉，他们注定不会被囚困。"
158,北方姑娘,5,2021-08-10,"“这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就叫体制化。”这是瑞德听闻老布死后说的一句话，他和老布，都在这围墙中度过了四五十年，早已经与外界脱轨，无法生存。陌生的环境让他们不适应到想要再犯法以便可以重新回到肖申克监狱，最终绝望自尽。
或许我们大多数人都会被惯性推着往前走，逐渐失去自由，不单是失去了身体的自由，连灵魂也锁在了那样大小的空间内。而忙着等死还是忙着活，这不是个简单的选择。这个选择需要更大的勇气，更多的付出。不能将心束缚，不能丢弃希望，无论身在何处，坚持最初的梦想。
这可能就是这部影片久久流传的原因所在吧。"
159,萌萌哒,5,2017-04-30,不只是肖申克的救赎，也是我们内心对自己的救赎
160,你看起来很美味,5,2012-02-26,他说，不要放弃希望。
161,做一件事很难吗,5,2018-04-14,第一条规矩：不准渎神，不准滥呼上帝之名！”“把信仰寄托神，把贱命交给我。印象挺深刻的
162,白竹,1,2008-08-15,我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。
163,已注销,5,2017-03-16,哪怕看到了这样的完美结局，依然有隐隐的不安，算不算得上缺乏安全感。。。
164,emillyhom,5,2018-05-02,经典到不知道用什么言语来评价它
165,冬叶,5,2016-05-03,完美诠释了大仲马洋洋万言的巨著想要告诉我们的：人生最宝贵的两样东西 等待和希望”关小黑屋很难熬吧 -有莫扎特陪着我 -他们让你把留声机带进去？-在我心里，这就是音乐的魅力 他们无法把它从你身上夺走“3分47秒的歌剧可能是影史上最令人难忘的古典音乐场景之一 费加罗婚礼Sull'aria唱的是希望和自由
166,青青蒹葭,5,2018-04-26,蛮值得一看的，电影很精彩。肖申克的救赎，救赎的是灵魂，渴望的是自由，只要有希望，就有可能。
167,萨德玛拉,3,2021-08-02,"想成为一个好的英语老师，首先要成为一个政治正确的精神白左。
几乎每个中学的英语老师都会给学生推荐这部电影，隐喻味道太重，监狱—体制内，自由—“自我实现”，犯人-公民。这部电影在中国大火也不是没有原因，可实际上蠢得不行，和隔壁阿甘一伙的吧。"
168,橙c,5,2017-10-20,虽然看到了旧社会的黑暗，但是又有一种心潮澎湃，又有些人性的温暖。
169,Lan~die,5,2006-10-06,"“有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉！”  
“那些高墙挺有意思，开始时候你痛恨它们，后来你就适应了。时间久了,你变得离不开它们依赖它们了。这就是体制化。” 
“希望是件美好的事，它也许是世间最美好的东西，而美好的事物永不消逝。”"
170,娜莉梦游仙境,4,2017-01-17,对自由的渴望可能不会表现出来，但是逃不过自己内心深处的渴望！哎，最后才发现是被冤枉的，看的我都纠结死了！
171,花未央2016,5,2017-05-17,希望是什么？即便在绝望中不放弃的信念。在是非善恶之虫，人终究是渺小的，而希望，让人变得伟大。
172,融化的冰糕,3,2019-12-17,小时候看，少年看，中年看，都觉得一般。
173,微分流形,3,2014-12-28,还不错，但被严重高估。表达的东西比较直白粗暴。对自由的禁锢是由于他人施恶，于是这种苦难只是个体的偶然，断绝了更普适性的探讨。人物脸谱化，个人英雄主义泛滥，典型的好莱坞商业励志片
174,一个人的修行,3,2017-12-08,很有感觉的一部片子。。人性
175,苏菲的世界,5,2017-01-08,一个天才银行家意外发现自己被戴了绿帽子，“失手”杀了自己老婆和奸夫被关进监狱（大人！其实他是冤枉的吖），然后在监狱开启大神模式——帮监狱长逃税漏税，丰富狱友的精神文化生活，跟好基友并肩斗智斗勇监狱官……以后凭借一把鹤嘴锄日夜凿壁，在一个风雨交加的夜晚成功越狱！很励志吧
176,U 兔,4,2007-01-09,好久了，不想说什么。但是，一直是感动着的...以上是我加这个片子时的话，现在我要说的是，这真的是一部装饰精美的马路片。说这话一点不装，请勇敢的站出来，肖申克作为一部电影只是中规中矩的好莱坞流水线产物~~~作为励志故事和摄影，做得已经很漂亮了~~~
177,小A,3,2010-01-10,剧本有问题。
178,独眼苍狼夏侯惇,5,2018-05-25,好看，我不喜欢。有点平淡
179,一路有你,4,2017-05-07,经典，不管如何都不要放弃希望，即使可能会给你带来危险。
180,mumudancing,-,,其实没那么好
181,Kylin,4,2017-01-06,和他一起看的，很励志的一部电影，也说明了拥有一技之长是多么重要……希望是件好东西，希望我也有。
182,随风飘洋,5,2017-05-25,一开始还疑惑这部片为什么叫肖申克的救赎，原来这是一部自我救赎的故事，要么忙着生，要么忙着死，心存希望就会有奇迹
183,昵称被占不开心,5,2017-02-10,hope can set you free～
184,桃花流水鳜鱼肥,5,2017-04-02,"一部没有女主角无关乎情爱的经典
恐惧让你沦为囚犯，希望让你重获自由。共勉"
185,小贝壳同学,5,2022-02-05,看它的时候，正是我在迷茫的人生阶段，以前我一直有听说过这个片子 你陆陆续续的看过几次 但是都没什么印象了 ，今天刚好有时间 沉下心来看看 ，说实话 我没怎么看懂 ，也可能是因为我这个年纪和人生阅历太浅了 ，但是看了很多 网友们的深刻解读以后 ，我大概有点感悟到了 ，所谓的救赎 ，其实就是和自己、外界和解，和监狱里的他们相比 ，我们看似都是自由的，但是为什么却从来没有感觉到幸福和爱呢？就像我现在一直活在迷茫和焦虑中， 但明明我是自由的呀，我也没有被什么围墙而限制起来 ，可我为什么总觉得活的那么痛苦 那么黑暗 那么没有希望 呢？ Andy说 希望是件美好的事 ，Red说 希望是件危险的事 ，其实我个人活的很像red ，我也怕犯错 我也被自己内心的条条框框束缚起来了，我也想去找寻自己内心的自由 。
186,新桥妖妖,5,2017-05-24,永远冷静，永不绝望才是救赎的最佳途径！
187,proletaricat,2,2019-05-13,"A cheap and reactionary film. There is no ""redemption"" here, but ""hope"" (the hope of what?). What happens the next day, when parole officers catch up with Red? What happens to bringing the real culprit of Andy's wife behind the bar? Where is the PTSD of an ""institutional man?"" There is no deep critique of prison economy here, nor that of America's CJS (all we have is a few corrupt officials outsmarted by a banker who of course ran away w all the money and is praised for it, sounds familiar?). The completely implausible ""figaro"" sequence cheapens the real struggle for freedom. All of this is the stuff of cheap Hollywood."
188,请你喝义无反顾,5,2021-03-14,"监狱里的高墙实在是很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就是体制化。
记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。
肖申克的救赎到底是什么？"
189,罗弘霉素,5,2009-11-19,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》 .
190,康报虹,5,2014-05-27,如果不是与阿甘正传一年，绝对的奥斯卡最佳影片。这部电影是一部传奇，IMDb 豆瓣 时光和我们心中永恒的经典！体制化害死人啊
191,Giroro,5,2017-10-20,赏析课看的电影，很经典，很有深度，这样的电影才称得上佳作
192,你爹语重心长,5,2017-03-23,不容错过的经典电影。
193,俗人,5,2017-05-03,人是感性的，面对残酷的环境，人本能的反应便是奋力抗争，而当这个环境恶劣到一定的程度时，人的抗争之心就会慢慢被消磨殆尽，成为行尸走肉。但是只要还有希望都要抗争到底不是吗？
194,希娇水,2,2010-06-05,可能是因为我已经知道片子是怎么回事了，所以觉得有点不够震撼。也可能是因为以前看过越狱了，所以也没新鲜感了。总之，没觉得太好，头重脚轻的
195,溪棠-迷糊狐,4,2017-05-03,从下水道逃生，看到这里我已经被震撼了。人的求生意志和对自由的向往有多强，这部电影给你答案
196,流氓兔,5,2017-02-28,很棒的一部电影，一部完全不需要女主女配的电影。有时候想想，我们国产片为什么走不出国门，我觉得广电也有一定责任，这不许拍那不许拍，就比如这类型的电影，很喜欢这类型的越狱题材，还有美剧的越狱，我看的第一部美剧，真的好好看。我们国家的电影或电视剧，基本没有关于这种类型的题材。万恶的广电
197,littletwo,5,2007-07-07,Hope is everything.
198,方鸿渐,5,2020-12-29,每当我之前的最失意时刻，都有这部片子相伴。竟然没有点看过，大概是一个玩笑。清楚记得安迪和大家在楼顶喝啤酒露出的微笑，那是一个标志性的转折。而后的隐忍，每次回忆起，我都格外感动。或许导演都没想到，他的这部作品能在中国最权威的电影网站里雄居榜首好多年。
199,热心网友方先生,5,2017-02-04,也许，这个电影能拍第一名是因为在不同的年龄段看就会有不同的感受。说实话，我现在只看懂了剧情，希望在30年后我再看会明白人生的意义。
200,大头绿豆,5,2005-06-12,http://www.bighead.cn/?p=34
201,巴喆,5,2011-11-10,“希望”是一种真正让人觉之自由的东西。受益终生的神作。9.6
202,冰红深蓝,4,2013-04-17,不够味道。
203,吾良,5,2013-09-18,"我看完它沒有身邊所有人說的那樣激烈的情緒出現，感動也好，激奮也好，又或者是觸動了什麼哭出來，我都沒有。
我只是覺得，他做的一切真的是再正常再平常不過的事情。身處其中，我不會有別的選擇要去做，除了選擇自由和信仰我沒有別的答案。
走，這是我唯一該做的。"
204,bornfreeyolo,5,2016-09-16,看过太多遍了，对人性的许多方面都有独到的阐述和理解，每看一次都有不同体会
205,[己注销],4,2009-12-09,也许是类似的故事看得太多了，以致我无法给出五星
206,韩景峰看电影,5,2013-01-18,影片的主人公用了二十年的时间，救赎自己的罪，最后获得重生的时候，我们真诚的欣慰是源于他不靠戏剧性的转折，只靠执着与坚持。人们总是喜欢看越狱题材的电影，我想不只因为剧情刺激，更多的是，我们时刻都憧憬着冲破身体上的枷锁和精神上的牢狱，这是我们精神补偿的表现。
207,梦梦梦梦,5,2017-04-08,看哭，经典中的经典
208,娜样的爱你,5,2017-04-05,很喜欢里面的一句话，希望是好事，也许是人间至善，而美好的事永不消逝。很经典的片子
209,Icey,5,2017-01-22,就算这个监狱再牢固，围墙再多，下水道再长，也永远困不住他，是永远。
210,幕天席地,5,2017-02-04,不得不说很能触碰到人心，细腻的打动你
211,heart,4,2018-05-17,没有特效  没有打斗 大部分都是监狱里的人们交谈的场景   这是一部能够触摸到灵魂的电影。
212,danver,5,2014-06-15,我有二十年时间都不想看这片，因为人所称赞的美德一般都挺让我犯恶心的。本来只想清理一下硬盘，看了二十分钟开始觉得不妙，这片子完成度太高太精致了。从演员到布景到化妆，构成和节奏和运镜。所以虽然搞出一个我想糊导演一脸的童话结局，我还是没法给它减星。
213,橙曦羽潞,5,2017-06-06,自由不在外面，而在于内心，唯有自我救赎才是出口
214,伊卡洛斯,5,2009-11-12,有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！所以，要么忙着生存，要么赶着去死！ 人总是要做点什么的……
215,JuJu的逗猫棒,5,2019-02-13,看到有恶意打一星的才想起来我还没打分呢！前两天我表哥装文艺说跟我推荐个电影，我问他什么电影，他说《肖申克的救赎》，神经病！《肖申克的救赎》还要你推荐啊！
216,冲浪小子Z,4,2018-05-07,Freedom
217,X,5,2017-06-03,值得看几遍
218,荞麦,4,2014-12-24,去掉部分煽情旁白我就可以再加一颗星。
219,护士衫下,5,2013-09-23,被禁锢过的生命在解除禁锢之后所以会产生差别，全在于被禁锢之时心里还有无自由二字..
220,sunny,5,2017-01-06,真的是非常棒的电影。主人公用智慧为自己赢得了自由。他善良，聪明，有毅力。正是这些让他逃过了命运的不公。
221,虾坨坨艺仔,5,2010-10-02,Hope is a good thing
222,影毒肥佬,5,2013-12-24,"死而無憾了!! 最高興是安迪說出我想說的,  我們的腦子是點唱機, 可以自播長播--音樂的!!!  不用靠手機或其他來播放的!!   因看到大銀幕, 才看到全片--才知道我錯得離譜, 蕭申克是監獄名!!我一直以為是主角的姓,  另發現男主實際是自由人先生, 也發現他很象暴走列車,  人家是先拍的.  京先生原著何時寫的....那這蕭申克外景在哪找的....另也很致敬大仲馬先生,  不惜用來開玩笑,  直接把基度山也說出來,  陷害主角的人也是三位,  不放走安迪的感覺也跟愛德蒙原因差不多,  也是老囚犯幫他....連最重要的字也說來--希望---正正是基度山的結局的那一個字--""世上最重要是 2個字--等待與希望"".......連男主逃離的感覺也很基度山.....之前看得最多次的是結局,   全是電視............"
223,人间俗物,5,2022-07-25,还是落泪了。几乎挑不出什么问题的完美。没有对妻子和情夫下手，却背了黑锅进监狱、被三姐妹侵犯依旧誓死反抗、外务工作换来一些啤酒……怎么说呢，安迪好强大啊，所有的客观环境都会随着他的存在变好，误入泥沼也不摆烂，能改变多少改变多少的想法，然后监狱里有了图书馆，大家开始自发成人高考。汤米被监狱长射杀是我真的没有想到。希望。全篇重点。看老布出狱之后，无法适应社会选择自杀。瑞德差点就要赴他老路，好在没有，好在安迪事事想的周到。最后结局一个俯瞰的大全境，人小的几乎看不到，但是我听到他们拥抱在一起的声音，比浪花还要呼啸。
224,斑马的故事,5,2017-04-07,真的，我的每一任英语老师都让我们看过😔
225,小森林,5,2017-03-18,看完特别震撼
226,战国客,5,2007-06-24,除了经典，我还能说什么？！
227,做更好的自己,5,2017-05-05,经典的电影总是经得起时间的推敲，主人公终于用他的智慧和坚持赢得了自由和希望，再看还是很感动
228,我不是樱木花道,2,2018-06-19,试着看过两遍还是没法喜欢，普通励志片，过誉了。
229,momo,5,2021-06-28,有的鸟儿注定是困不住的。
230,初音大皇帝,5,2019-03-24,9.9分，有的人只能从电影里看到越狱，估计他们就是那些看到半瓶水，只会哀叹只剩下半瓶水的人了吧。况且，安迪是被冤枉的，他越狱有什么不对？电影传播的主题是希望，对生活充满希望，我以前总是害怕失败而对任何事情都不抱希望，总是得过且过地混着日子，到头来一事无成。看了这部电影后，我想，我应该做出改变。
231,河洛牧人,5,2022-03-23,对抗虚无主义的一剂良药！
232,joanne,3,2017-10-06,可能是大多数人公认的好电影，甚至是NO.1，然而就是打动不了我，比遵循公众的看法更重要的是跟随自己的内心。
233,昏昏欲睡,4,2016-12-27,监狱是一个设会的缩影，蒙冤的安迪没有放弃，赢得了尊重，地位，友谊。最后的自由
234,不要焦虑浣熊妹,5,2012-12-17,Hope is a good thing.Good things never die.
235,还不过来扶着朕,5,2016-09-18,看了很多遍每次都有不同的体会，好作品就是有这样的魅力
236,阿呆同学,5,2016-11-08,此片无关爱情，除了背叛。有的只是监狱中的男人间的友谊。Red 和 Andy的那种友谊置放在高墙之下，似乎比我们纷繁俗世中的友情来得更加纯粹和干净。他们都是内敛的人，然而洞悉一切，心意契合。我喜欢这种感情。所以在他们终于相会在太平洋小岛的阳光沙滩之上的时候，忍不住一人笑了。
237,恰妮斯虫,5,2014-06-10,让我难过的事，有一天，真的能笑着说出来吗？
238,连城易脆,5,2013-12-05,雄霸豆瓣第一名，总归是一种了不起...
239,拒绝沦为中美国,1,2010-10-12,美化华尔街投行人员的电影。事实上这群人才没有这么好，通常情况下都是在千方百计掩盖自己的犯罪行为。大部分美国电影都是中情局控制下的好莱坞生产的精神鸦片。详情见这本书《好莱坞内部的中情局》http://book.douban.com/subject/26370014
240,D I D A,3,2010-02-07,Frank Darabont非常喜欢模糊一部电影的中心，或说给予人们一个不落俗套的结局，但这种思想并不是“励志”，安迪的自由又何尝不是导演扭曲的“希望”，这样逃避而不负责任的“自由”是否积极是否值得鼓励？——不要披着“励志”的皮卖“人生”的肉。
241,一桶油,5,2017-02-04,最先还是为了练习英语看的，除了感动没啥大感触，这部剧值得一刷再刷，最近又给我了新的力量，再次带希望上路。
242,EdgeOfInfinite,1,2019-02-13,好好想想是中国人拍的打几分
243,潘半仙,5,2011-06-03,高中时收藏的DVD之一，相当深刻的影片，老摩的表演也十分精彩。
244,朱迷糊🌸,5,2017-02-19,很经典的一部电影，看过挺多遍，每次看都能感受到不一样的东西，值得一看
245,间介,5,2016-11-08,电影的最后，当两个在囹圄之中呆了几十年的人拥抱到了一起，当他们还需要去思考“自由”的时候，这个时间点不知道我们是该为他们庆幸还是悲哀……很棒，每当迷茫的时候，翻出这个电影看一看，有好处，经典
246,行之,5,2017-03-25,这部电影确实很有深度，另摩根弗里曼的表演已经像平常人吃饭那么日常了
247,老顽童,3,2019-01-17,【6.6】1. 以为是犯罪片，然后发现是励志片 2. 90年的基调，美国的价值观展露无疑，输给《阿甘正传》不意外 3. 经典的好莱坞剧本，有些地方刻意过度无新意 4. 做领导最根本的原因还是内在能力，而不是雄辩。 5. 多看书是好事，亘古不变的万年道理。 6. 论斯德哥尔摩综合症与自由的矛盾是全片最核心的地方，每处地方都有微弱的线索。 7. 人们渴望自由，这是写给观影人有关自由的一封情书。 8. 从励志片的角度有点平庸，从商业片的角度更加平庸。 9. 但是放在20世纪90年代末，这的确是紧跟时代潮流的一部好片。
248,被荷禂之晏晏,5,2017-04-03,"一个关乎友情和信念的故事。
不消多说什么，看看他的故事，你那些挫折又算什么呢?
“Get busy living or get busy dying”"
249,crossrainbow,5,2017-03-24,这部剧真的是经典中的经典，无论从故事构架剧情还有演员演绎上都是完美作品，发人深思
250,高冷之花白月初,5,2017-05-03,看过3遍，每次看都有不同的感受，最大的体会大概是人要永远充满希望吧
251,小葱,5,2017-02-26,非常好看，经典。有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！
252,蘇小北,5,2011-09-06,在網上認識的很多喜歡文藝片的朋友都很排斥這部片子，然而卻是我看的次數比較多的一部，並且每次看都不會掃興，對我來說，他是我的啓蒙電影，正是從肖申克開始，我喜歡上了電影，還記得第一看後的激動，給姐姐打電話，絮絮叨叨地講著這麼一個關於囚禁與理想和自由的故事，那時的自己一臉天真。
253,汝就做吾的犬吧,5,2008-07-23,Brook上吊那段和监狱里放音乐那段真的是震撼到我了，看似是反映囚犯监狱生活的片子最后反而变成了一部越狱的斗智片，也不能算非常励志但也多多少少能给人点启发，
254,Sophie  Z,5,2008-04-03,我记得那是高中网球课下课后的美术课，我疲惫到无法动弹的身体看得汗毛竖立。
255,AG,2,2009-08-30,明明是勇敢的心式的狗血剧。
256,跨过卢比孔河,3,2022-04-12,回顾此片，觉得颇为避重就轻，“生活把你逼到墙角时你能做什么”的答案真的是把墙凿穿吗，面对房间里的大象真的应该抖个“但房间也有门实在不行还有窗”的机灵吗。此一。那么多被生活毒打的人又有哪个是安迪呢，享有天赋、朋友、运气，监狱里那么多犯人被体制化而不还手甚至不自知真的是他们自己的错吗。很多时候教育和启蒙是一种特权，拥有的人应该谦卑，没有的人不应该成为靶子。拿现实生活中的你我对照看看就知道了，我们是安迪吗，显然不是。此二。生活是一坨屎，靠着别人没有的资本爬出这坨屎是生活这个问题的答案吗，或者说爬出这坨屎本身是吗？此三。
257,井戒,5,2010-12-30,"不愧为经典，一颗至善、自由的心，万世糜烂也澄明无瑕。Hope is a good thing, maybe the best of things, and no good thing ever dies. 无论是安迪神秘的笑容，还是最后一幕的碧海蓝天，都平静令人屏息，难于忘怀"
258,麻酱凉皮,4,2016-12-27,为了自由，人真的是有非常大的毅力，前面看的有趣，后半段越来越压抑，尤其是那个小卷毛说好了作证，却被长官枪杀，很难受，男主从下水道钻出来的时候算是全片的高潮了吧，看完只想说一句话“知识就是力量”。
259,萧紫,5,2017-04-11,"some birds aren't meant to be caged, that's all. their feathers are just too bright
get busy living,or get busy dying..."
260,顗礼,5,2017-06-28,对于“体制化”的探讨是全片最有价值的地方，监狱对囚犯的异化、心理围墙的建立与打破都值得玩味
261,小肉兔,5,2017-06-15,逆境中的挣扎 在绝望中生出一朵花
262,淡水无香,5,2016-05-14,希望不需要热情，热情的希望只是灵魂深处一次不经意的冲动。
263,落拓,4,2017-03-16,很经典的一部电影，也很励志，值得推荐。
264,豆腐花是咸的,4,2018-05-18,聪明人的反击，报复的畅快感，美国不是天堂，但美国人却很NB。
265,Lucifer,5,2009-12-14,"自由和信念，还有希望！
即使在一个人类最专制，最没有自由的监狱里，他依然没有放弃希望，即使面对死亡的威胁，他也不放弃自己做为一个在的原则！
他理当得到一切——自由，财富，还有好朋友！"
266,猛汉世雄,5,2015-02-14,经典就是经典，虽然我看得这么晚，但真庆幸我有看！
267,茕茕白兔,5,2018-05-14,没有女主，无需爱情，同样精彩。其中悬疑成分很惊喜。影片表达出来的对自由，对希望，对梦想的追求令人感动
268,全都是风,2,2007-01-15,精英奋斗史，还不如基督山伯爵。
